station_id,lat,lon,elevation
025460-99999,58.883,14.383,212.0
025480-99999,58.1,14.417,95.0
025490-99999,57.5,14.467,356.0
025500-99999,57.758,14.069,225.9
025520-99999,58.067,15.233,197.0
025540-99999,58.717,15.033,225.0
025550-99999,57.65,14.7,305.0
025560-99999,57.292,14.137,169.5
025570-99999,57.883,15.867,91.0
025580-99999,58.683,16.317,155.0
025620-99999,58.402,15.526,93.9
025625-99999,58.406,15.681,52.4
025630-99999,58.25,17.017,18.0
025635-99999,56.283,12.833,47.0
025650-99999,57.526,15.823,111.6
025660-99999,57.4,15.817,98.0
025700-99999,58.617,16.117,33.0
025710-99999,58.586,16.251,9.8
025740-99999,58.583,16.15,41.6
025760-99999,57.717,16.467,35.0
025820-99999,58.75,17.867,32.0
025840-99999,58.4,19.2,12.0
025870-99999,57.917,18.95,13.0
025880-99999,57.9,19.167,8.0
025900-99999,57.663,18.346,50.0
025920-99999,57.367,17.1,4.0
025980-99999,57.433,18.983,5.0
026040-99999,56.691,12.82,30.8
026050-99999,56.45,12.55,10.0
026060-99999,56.3,12.45,72.0
026070-99999,56.283,12.083,18.0
026110-99999,56.033,12.767,44.0
026160-99999,55.383,12.817,5.0
026180-99999,56.95,13.067,130.0
026220-99999,56.85,13.883,148.0
026230-99999,55.867,13.667,114.0
026250-99999,55.483,14.317,5.0
026260-99999,56.367,13.95,85.0
026280-99999,56.017,14.85,60.0
026320-99999,55.95,15.7,3.0
026350-99999,55.567,13.067,21.0
026360-99999,55.53,13.372,71.9
026400-99999,56.867,14.8,166.0
026410-99999,56.929,14.728,185.9
026440-99999,56.2,16.4,3.0
026480-99999,56.85,14.833,200.0
026500-99999,56.017,14.85,55.0
026510-99999,55.922,14.086,23.2
026610-99999,56.833,15.467,232.0
026640-99999,56.267,15.265,58.2
026660-99999,56.033,15.8,3.0
026720-99999,56.686,16.288,5.2
026800-99999,56.917,18.15,39.0
027010-99999,69.05,20.85,1009.0
027040-99999,61.117,24.317,87.0
027050-99999,67.017,27.217,487.5
027060-99999,60.25,24.05,37.0
027170-99999,68.167,25.767,272.0
027200-99999,67.701,24.847,196.3
027210-99999,63.95,22.85,6.3
027220-99999,68.417,27.417,302.0
027250-99999,63.45,24.45,153.0
027260-99999,68.6,23.583,374.0
027270-99999,61.267,25.517,76.0
027410-99999,60.183,19.983,11.0
027510-99999,61.633,21.383,4.6
027520-99999,62.2,21.167,21.7
027540-99999,61.0,24.5,85.0
027550-99999,64.05,24.717,76.0
027560-99999,60.367,23.117,2.0
027570-99999,59.817,23.583,22.8
027580-99999,60.417,24.4,44.2
027590-99999,60.4,25.6,23.5
027610-99999,61.15,21.3,29.0
027630-99999,61.467,23.75,86.0
027650-99999,61.7,25.5,83.2
027670-99999,61.05,25.05,125.0
027680-99999,61.2,26.05,92.0
027690-99999,62.417,22.183,93.0
027700-99999,61.85,24.283,153.0
027710-99999,61.883,26.1,146.0
027720-99999,62.067,28.567,80.0
027730-99999,60.45,22.183,9.1
027770-99999,60.467,23.65,117.0
027780-99999,61.8,29.317,79.5
027810-99999,62.983,20.733,3.7
027870-99999,63.083,24.267,171.4
027880-99999,63.15,27.317,91.3
027890-99999,63.383,28.667,165.5
027900-99999,60.25,20.75,22.5
027910-99999,63.233,29.233,115.0
027930-99999,62.55,29.667,79.5
027940-99999,59.917,24.35,2.0
027960-99999,63.317,30.05,98.0
027970-99999,64.15,25.417,112.0
027980-99999,63.667,28.833,115.0
027990-99999,64.3,30.167,198.4
